screenshot,path,pass_threshold,avg_score,failed_count,gd_composition,gd_hierarchy,gd_spacing,gd_typography,gd_contrast,gd_color,gd_image,gd_restraint,gd_rhythm,gd_identity,mkt_headline,mkt_value,mkt_cta,mkt_flow,mkt_diff,mkt_trust,mkt_luxury,mkt_clientfit,mkt_concision,mkt_emotion,ind_aviation,ind_maintenance,ind_owner,ind_flightdept,ind_ops,ind_facility,ind_hospitality,ind_discretion,ind_readiness,ind_return,failed_criteria
about-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/about-01.png,8 on every criterion,7.0,23,6,7,7,7,8,7,6,6,6,6,8,8,7,7,6,7,7,7,7,7,8,8,7,6,7,7,7,8,8,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_owner;ind_flightdept;ind_ops;ind_facility;ind_hospitality;ind_return
about-02.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/about-02.png,8 on every criterion,6.17,29,5,6,7,7,8,7,4,7,5,5,7,7,5,6,5,7,6,6,7,5,6,7,6,6,7,5,6,7,7,6,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_value;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_maintenance;ind_owner;ind_flightdept;ind_ops;ind_facility;ind_hospitality;ind_discretion;ind_readiness;ind_return
about-03.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/about-03.png,8 on every criterion,7.3,19,7,7,7,7,8,7,8,6,7,6,7,8,6,7,6,8,7,7,7,6,8,9,7,7,9,8,7,8,9,8,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_cta;mkt_flow;mkt_diff;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_owner;ind_flightdept;ind_hospitality
about-04.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/about-04.png,8 on every criterion,6.5,26,6,7,7,7,8,7,5,6,5,5,8,7,5,6,6,7,8,7,7,6,6,7,6,6,7,5,7,8,7,6,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_value;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_maintenance;ind_owner;ind_flightdept;ind_ops;ind_facility;ind_hospitality;ind_readiness;ind_return
about-05.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/about-05.png,8 on every criterion,6.4,26,5,6,7,7,8,7,4,7,5,5,7,7,6,7,5,7,6,6,7,5,7,8,6,6,8,5,6,7,8,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_value;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_owner;ind_flightdept;ind_facility;ind_hospitality;ind_discretion;ind_return
about-06.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/about-06.png,8 on every criterion,6.47,26,5,6,7,7,8,7,4,5,5,4,7,7,8,8,5,7,7,7,8,6,7,7,6,6,7,5,7,7,7,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_value;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_emotion;ind_aviation;ind_maintenance;ind_owner;ind_flightdept;ind_ops;ind_facility;ind_hospitality;ind_discretion;ind_readiness;ind_return
about-full-desktop.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/about-full-desktop.png,8 on every criterion,6.9,23,6,7,7,7,8,7,6,5,5,5,7,8,7,7,6,8,7,7,7,6,7,8,7,7,8,7,7,8,8,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_cta;mkt_flow;mkt_diff;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_owner;ind_flightdept;ind_facility;ind_hospitality;ind_return
about-full-mobile.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/about-full-mobile.png,8 on every criterion,6.43,26,5,6,7,7,8,7,5,5,4,4,7,8,6,6,5,7,6,7,7,5,7,8,7,7,7,6,7,8,7,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_owner;ind_flightdept;ind_ops;ind_facility;ind_hospitality;ind_readiness;ind_return
capabilities-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/capabilities-01.png,8 on every criterion,7.0,23,6,7,7,7,8,7,6,6,6,6,8,8,7,7,6,7,7,7,7,7,8,8,7,6,7,7,7,8,8,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_owner;ind_flightdept;ind_ops;ind_facility;ind_hospitality;ind_return
capabilities-02.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/capabilities-02.png,8 on every criterion,6.43,25,5,6,7,7,8,7,4,7,5,4,7,7,5,6,5,8,6,6,7,5,7,9,6,6,9,5,6,7,9,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_value;mkt_cta;mkt_flow;mkt_diff;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_owner;ind_flightdept;ind_facility;ind_hospitality;ind_discretion;ind_return
capabilities-03.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/capabilities-03.png,8 on every criterion,7.3,19,7,7,7,7,8,7,8,6,7,6,7,8,6,7,6,8,7,7,7,6,8,9,7,7,9,8,7,8,9,8,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_cta;mkt_flow;mkt_diff;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_owner;ind_flightdept;ind_hospitality
capabilities-04.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/capabilities-04.png,8 on every criterion,7.57,12,8,8,8,7,8,8,9,8,8,8,7,7,6,6,7,8,8,7,8,7,9,8,7,6,7,8,8,8,8,7,gd_typography;mkt_headline;mkt_value;mkt_cta;mkt_flow;mkt_diff;mkt_clientfit;mkt_emotion;ind_owner;ind_flightdept;ind_ops;ind_return
capabilities-05.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/capabilities-05.png,8 on every criterion,6.53,25,6,7,7,7,8,7,5,6,6,5,7,7,5,6,5,7,6,6,7,5,7,8,6,6,8,8,6,7,8,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_value;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_owner;ind_flightdept;ind_hospitality;ind_discretion;ind_return
capabilities-06.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/capabilities-06.png,8 on every criterion,6.27,28,5,6,7,7,8,7,4,7,5,4,7,7,5,6,5,7,6,6,7,5,7,8,6,6,7,6,6,7,7,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_value;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_owner;ind_flightdept;ind_ops;ind_facility;ind_hospitality;ind_discretion;ind_readiness;ind_return
capabilities-07.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/capabilities-07.png,8 on every criterion,6.47,26,5,6,7,7,8,7,4,5,5,4,7,7,8,8,5,7,7,7,8,6,7,7,6,6,7,5,7,7,7,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_value;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_emotion;ind_aviation;ind_maintenance;ind_owner;ind_flightdept;ind_ops;ind_facility;ind_hospitality;ind_discretion;ind_readiness;ind_return
capabilities-full-desktop.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/capabilities-full-desktop.png,8 on every criterion,6.9,23,6,7,7,7,8,7,6,5,5,5,7,8,7,7,6,8,7,7,7,6,7,8,7,7,8,7,7,8,8,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_cta;mkt_flow;mkt_diff;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_owner;ind_flightdept;ind_facility;ind_hospitality;ind_return
capabilities-full-mobile.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/capabilities-full-mobile.png,8 on every criterion,6.43,26,5,6,7,7,8,7,5,5,4,4,7,8,6,6,5,7,6,7,7,5,7,8,7,7,7,6,7,8,7,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_owner;ind_flightdept;ind_ops;ind_facility;ind_hospitality;ind_readiness;ind_return
contact-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/contact-01.png,8 on every criterion,7.0,23,6,7,7,7,8,7,6,6,6,6,8,8,7,7,6,7,7,7,7,7,8,8,7,6,7,7,7,8,8,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_owner;ind_flightdept;ind_ops;ind_facility;ind_hospitality;ind_return
contact-02.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/contact-02.png,8 on every criterion,7.2,17,6,7,7,7,8,7,5,6,6,5,8,8,9,8,6,8,7,8,7,7,7,8,7,7,9,6,8,8,8,8,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_diff;mkt_luxury;mkt_concision;mkt_emotion;ind_aviation;ind_owner;ind_flightdept;ind_facility
contact-03.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/contact-03.png,8 on every criterion,6.4,26,5,6,7,7,8,7,4,7,5,5,7,7,6,7,5,7,6,6,7,5,7,8,6,6,8,5,6,7,8,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_value;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_owner;ind_flightdept;ind_facility;ind_hospitality;ind_discretion;ind_return
contact-04.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/contact-04.png,8 on every criterion,6.47,26,5,6,7,7,8,7,4,5,5,4,7,7,8,8,5,7,7,7,8,6,7,7,6,6,7,5,7,7,7,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_value;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_emotion;ind_aviation;ind_maintenance;ind_owner;ind_flightdept;ind_ops;ind_facility;ind_hospitality;ind_discretion;ind_readiness;ind_return
contact-full-desktop.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/contact-full-desktop.png,8 on every criterion,6.9,23,6,7,7,7,8,7,6,5,5,5,7,8,7,7,6,8,7,7,7,6,7,8,7,7,8,7,7,8,8,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_cta;mkt_flow;mkt_diff;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_owner;ind_flightdept;ind_facility;ind_hospitality;ind_return
contact-full-mobile.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/contact-full-mobile.png,8 on every criterion,6.43,26,5,6,7,7,8,7,5,5,4,4,7,8,6,6,5,7,6,7,7,5,7,8,7,7,7,6,7,8,7,7,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_image;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_concision;mkt_emotion;ind_aviation;ind_owner;ind_flightdept;ind_ops;ind_facility;ind_hospitality;ind_readiness;ind_return
credits-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-27/credits-01.png,8 on every criterion,5.77,25,7,7,7,7,8,7,8,7,7,6,6,6,4,4,4,5,6,4,8,4,8,6,3,3,4,8,5,5,5,4,gd_composition;gd_hierarchy;gd_spacing;gd_typography;gd_color;gd_restraint;gd_rhythm;gd_identity;mkt_headline;mkt_value;mkt_cta;mkt_flow;mkt_diff;mkt_trust;mkt_luxury;mkt_clientfit;mkt_emotion;ind_maintenance;ind_owner;ind_flightdept;ind_ops;ind_hospitality;ind_discretion;ind_readiness;ind_return
