screenshot,path,profile,pass_threshold,avg_score,failed_count,failed_criteria,weakest_criteria,gd_composition,gd_hierarchy,gd_spacing,gd_typography,gd_contrast,gd_color,gd_image,gd_restraint,gd_rhythm,gd_identity,mkt_headline,mkt_value,mkt_cta,mkt_flow,mkt_diff,mkt_trust,mkt_luxury,mkt_clientfit,mkt_concision,mkt_emotion,ind_aviation,ind_maintenance,ind_owner,ind_flightdept,ind_ops,ind_facility,ind_hospitality,ind_discretion,ind_readiness,ind_return
about-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-01.png,hero_about,8.0,8.23,0,,gd_rhythm:8.1; gd_composition:8.2; gd_hierarchy:8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.4,8.2,8.1,8.5,8.4,8.3,8.2,8.2,8.2,8.2,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.3,8.2,8.2
about-02.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-02.png,values,8.0,8.35,0,,gd_hierarchy:8.3; gd_spacing:8.3; gd_typography:8.3,8.6,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.5,8.3,8.8,8.3,8.3,8.4,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.5,8.6,8.3,8.3
about-03.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-03.png,about_principles,8.0,8.44,0,,gd_hierarchy:8.4; gd_spacing:8.4; gd_typography:8.4,8.6,8.4,8.4,8.4,8.4,8.4,8.5,8.4,8.4,8.4,8.4,8.7,8.4,8.4,8.4,8.7,8.5,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.6,8.4,8.4
about-04.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-04.png,manifesto,8.0,8.35,0,,gd_composition:8.3; gd_hierarchy:8.3; gd_spacing:8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.6,8.6,8.7,8.3,8.3,8.3,8.3,8.5,8.3,8.3,8.5,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.5,8.3,8.3
about-05.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-05.png,practice,8.0,8.17,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.5,8.1,8.6,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.5,8.1,8.1,8.7
about-06.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-06.png,close,8.0,8.15,0,,gd_composition:8.1; gd_hierarchy:8.1; gd_spacing:8.1,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.2,8.1,8.3,8.6,8.4,8.1,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
about-full-desktop.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-full-desktop.png,full_desktop,8.0,8.14,0,,gd_hierarchy:8.1; gd_spacing:8.1; gd_typography:8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.1,8.1,8.1,8.4,8.1,8.4,8.1,8.1,8.1,8.1,8.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
about-full-mobile.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/about-full-mobile.png,full_mobile,8.0,8.02,0,,gd_hierarchy:8.0; gd_typography:8.0; gd_contrast:8.0,8.1,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.2,8.0,8.2,8.0,8.0,8.0,8.0,8.1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
capabilities-01.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/capabilities-01.png,hero_capabilities,8.0,8.37,0,,gd_composition:8.3; gd_hierarchy:8.3; gd_spacing:8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.5,8.3,8.3,8.4,8.4,8.4,8.3,8.3,8.3,8.6,8.3,8.3,8.3,8.3,8.3,8.7,8.3,8.3,8.8,8.6,8.3,8.3,8.3,8.3
capabilities-02.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/capabilities-02.png,systems_board,8.0,8.36,0,,gd_hierarchy:8.3; gd_spacing:8.3; gd_typography:8.3,8.5,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.7,8.3,8.3,8.3,8.3,8.3,8.8,8.3,8.3,8.8,8.4,8.3,8.3,8.3,8.3
capabilities-03.png,/Users/andrewshea/Desktop/Websites/MidAmerica/review/manual-audit-10/systemic-audit-2026-03-28-round2/capabilities-03.png,ops_matrix,8.0,8.46,0,,gd_hierarchy:8.4; gd_spacing:8.4; gd_typography:8.4,8.6,8.4,8.4,8.4,8.4,8.4,8.5,8.4,8.4,8.4,8.4,8.5,8.4,8.4,8.4,8.7,8.4,8.4,8.4,8.4,8.4,8.8,8.4,8.4,8.9,8.7,8.4,8.4,8.4,8.4
